id,title,description,attributes
51,Puma Shoes,High-performance running shoes,"color: green, size: 8, gender: Men, category: Training, price: $74.05, stock: 22"
52,Adidas Shoes,Durable outdoor shoes,"color: grey, size: 7, gender: Men, category: Running, price: $176.12, stock: 50"
53,Nike Shoes,Lightweight training shoes,"color: blue, size: 6, gender: Men, category: Casual, price: $142.47, stock: 46"
54,Nike Shoes,High-performance running shoes,"color: red, size: 9, gender: Men, category: Outdoor, price: $91.43, stock: 24"
55,Nike Shoes,Lightweight training shoes,"color: blue, size: 9, gender: Men, category: Casual, price: $76.48, stock: 48"
56,Adidas Shoes,Comfortable sports shoes,"color: black, size: 9, gender: Unisex, category: Training, price: $159.52, stock: 8"
57,Adidas Sneakers,Lightweight training shoes,"color: red, size: 6, gender: Men, category: Outdoor, price: $98.47, stock: 34"
58,Puma Shoes,Durable outdoor shoes,"color: blue, size: 6, gender: Unisex, category: Casual, price: $96.78, stock: 17"
59,Asics Sneakers,High-performance running shoes,"color: black, size: 12, gender: Men, category: Casual, price: $119.5, stock: 4"
60,Nike Sneakers,Stylish casual sneakers,"color: grey, size: 12, gender: Men, category: Training, price: $110.67, stock: 2"
61,Adidas Shoes,Durable outdoor shoes,"color: grey, size: 12, gender: Men, category: Outdoor, price: $153.53, stock: 34"
62,Reebok Trainers,Stylish casual sneakers,"color: green, size: 9, gender: Men, category: Outdoor, price: $134.98, stock: 33"
63,Reebok Sneakers,Stylish casual sneakers,"color: white, size: 8, gender: Unisex, category: Outdoor, price: $96.08, stock: 41"
64,Nike Sneakers,Lightweight training shoes,"color: grey, size: 8, gender: Women, category: Casual, price: $176.16, stock: 36"
65,Adidas Shoes,Durable outdoor shoes,"color: black, size: 12, gender: Women, category: Training, price: $73.57, stock: 29"
66,Reebok Sneakers,Comfortable sports shoes,"color: red, size: 12, gender: Women, category: Outdoor, price: $66.33, stock: 17"
67,Reebok Shoes,Durable outdoor shoes,"color: white, size: 11, gender: Unisex, category: Training, price: $100.65, stock: 43"
68,Asics Trainers,Durable outdoor shoes,"color: white, size: 7, gender: Unisex, category: Running, price: $83.63, stock: 4"
69,Asics Trainers,Stylish casual sneakers,"color: blue, size: 10, gender: Unisex, category: Training, price: $182.8, stock: 43"
70,Nike Sneakers,Durable outdoor shoes,"color: black, size: 9, gender: Unisex, category: Training, price: $173.51, stock: 24"
71,Puma Sneakers,Lightweight training shoes,"color: black, size: 9, gender: Women, category: Casual, price: $86.27, stock: 10"
72,Asics Shoes,Durable outdoor shoes,"color: black, size: 7, gender: Men, category: Outdoor, price: $61.97, stock: 39"
73,Adidas Shoes,High-performance running shoes,"color: black, size: 12, gender: Unisex, category: Training, price: $103.65, stock: 24"
74,Adidas Trainers,Lightweight training shoes,"color: grey, size: 6, gender: Men, category: Outdoor, price: $168.38, stock: 8"
75,Asics Sneakers,Comfortable sports shoes,"color: blue, size: 6, gender: Women, category: Running, price: $184.02, stock: 29"
76,Nike Sneakers,Durable outdoor shoes,"color: green, size: 11, gender: Unisex, category: Casual, price: $186.18, stock: 36"
77,Adidas Trainers,Comfortable sports shoes,"color: black, size: 7, gender: Unisex, category: Training, price: $149.42, stock: 45"
78,Reebok Sneakers,Stylish casual sneakers,"color: red, size: 6, gender: Women, category: Training, price: $167.94, stock: 36"
79,Nike Sneakers,Stylish casual sneakers,"color: blue, size: 10, gender: Men, category: Training, price: $150.69, stock: 9"
80,Asics Trainers,High-performance running shoes,"color: blue, size: 12, gender: Men, category: Running, price: $143.25, stock: 17"
81,Puma Trainers,High-performance running shoes,"color: blue, size: 8, gender: Women, category: Outdoor, price: $127.02, stock: 35"
82,Nike Sneakers,Durable outdoor shoes,"color: green, size: 10, gender: Men, category: Running, price: $57.65, stock: 37"
83,Puma Sneakers,High-performance running shoes,"color: white, size: 9, gender: Women, category: Casual, price: $61.5, stock: 33"
84,Asics Trainers,Stylish casual sneakers,"color: green, size: 8, gender: Men, category: Casual, price: $125.01, stock: 37"
85,Adidas Shoes,Comfortable sports shoes,"color: grey, size: 8, gender: Men, category: Casual, price: $168.33, stock: 13"
86,Asics Sneakers,Stylish casual sneakers,"color: white, size: 7, gender: Women, category: Training, price: $143.93, stock: 43"
87,Reebok Sneakers,Comfortable sports shoes,"color: green, size: 12, gender: Unisex, category: Casual, price: $62.89, stock: 41"
88,Asics Shoes,Lightweight training shoes,"color: grey, size: 12, gender: Men, category: Casual, price: $99.03, stock: 50"
89,Asics Sneakers,Durable outdoor shoes,"color: white, size: 11, gender: Women, category: Casual, price: $179.2, stock: 21"
90,Nike Shoes,Durable outdoor shoes,"color: grey, size: 10, gender: Women, category: Casual, price: $113.34, stock: 30"
91,Reebok Sneakers,Durable outdoor shoes,"color: black, size: 12, gender: Women, category: Running, price: $171.51, stock: 15"
92,Asics Shoes,Durable outdoor shoes,"color: black, size: 7, gender: Women, category: Training, price: $111.2, stock: 47"
93,Adidas Trainers,Stylish casual sneakers,"color: green, size: 7, gender: Unisex, category: Casual, price: $62.18, stock: 0"
94,Reebok Trainers,Durable outdoor shoes,"color: blue, size: 9, gender: Men, category: Running, price: $165.59, stock: 48"
95,Nike Shoes,Lightweight training shoes,"color: red, size: 7, gender: Unisex, category: Running, price: $189.31, stock: 35"
96,Adidas Sneakers,High-performance running shoes,"color: red, size: 6, gender: Unisex, category: Running, price: $79.12, stock: 26"
97,Nike Sneakers,Stylish casual sneakers,"color: green, size: 11, gender: Unisex, category: Training, price: $167.46, stock: 16"
98,Reebok Shoes,Lightweight training shoes,"color: black, size: 9, gender: Men, category: Outdoor, price: $175.24, stock: 13"
99,Nike Sneakers,Lightweight training shoes,"color: black, size: 12, gender: Unisex, category: Training, price: $193.91, stock: 42"
100,Nike Trainers,Comfortable sports shoes,"color: white, size: 11, gender: Women, category: Outdoor, price: $62.5, stock: 25"
